"","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010"
"88035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,151,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88036",NA,NA,NA,187,187,187,187,187,187,187,138,NA,138,NA,NA,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,NA,217,217,217,217,217,217,NA,NA,217,217,NA,NA
"88037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,196,NA,NA,NA,NA,243,243,243,243,243,243,NA,NA,138,138,138,NA,138,138,138,138,138,138,138,NA,138,138,138,NA,NA,206,206
"88038",21,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,NA,68,68,NA,167,NA,NA,121,NA,NA,215,215,NA,215,215,215,NA,215,NA,NA,NA,NA,NA,NA,39,39,39,39,39,NA,NA,NA,97,97
"88040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,26,NA,NA,NA,NA,165,NA,165,165,165,165,165,165,165,165,165,125,125,125,NA,125,125,125,125,125,125,125,125,NA,125,NA,104,104
"88041",NA,NA,NA,NA,NA,234,NA,NA,NA,NA,167,167,167,167,167,167,167,167,167,NA,167,167,167,NA,167,167,283,283,283,283,283,283,283,283,283,283,283,283,283,283,NA,283,NA,95,95
"88042",NA,NA,NA,NA,NA,NA,NA,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,NA,150,150,NA,150,150,NA,150,150,150,150,150,NA,NA,150,150,150,NA,150
"88043",NA,106,106,106,106,106,106,106,106,NA,NA,NA,NA,240,240,240,240,240,NA,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,290,290
"88044",226,226,NA,106,106,106,106,106,106,NA,NA,NA,NA,240,240,240,240,240,NA,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,96,96
"88045",19,19,19,19,19,19,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88046",NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,111,100,100,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,NA,111,NA
"88047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,142,NA,NA,NA,199,NA,NA,NA,142,142,142,142,126,57,NA,NA,NA,NA,217,217,217,217,217,NA,NA,217,NA,289,NA
"88048",NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,111,100,100,111,111,111,111,111,111,111,111,111,37,37,11,11,11,11,11,11,NA,NA,NA,11,11,11,11,11,11,62,62,62,62
"88049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,283,283,283,283,283,283,283,283,283,NA,283,NA,95,95
"88050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,133,133,133,133,133,133,133,NA,NA,NA,NA,62,75,75,NA,75
"88051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,124,NA,NA,259,259,259,259,259,259,259,259,259,259,259,259,259
"88052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,173,173,173,173,173,NA,173,NA,NA,129,NA,NA,NA,NA,NA
"88116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,NA,NA,177,145,145,255,255,255,255,255,255,255,255,255,255,255,255,255,174,NA
"88127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,169,144,144,144,144,144,NA,154,154,NA,154,154,154,154,154,154,252,NA,252,NA,NA,96
"88133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,247,247,247,247,247,247,247,247,NA,NA,NA,NA,NA,287,NA,NA,NA,NA,NA
"88134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,238,71,71,71,71,71,71,71,71,71,71,71,NA,NA,217,217,217,217,217,217,217,217,NA,NA,NA,217,217,247,247
"88135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,NA,NA,NA,NA,NA,NA,116,NA,NA,NA,NA,NA
