"","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010"
"88014",NA,NA,NA,1,0,0,NA,0,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88015",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA
"88016",NA,NA,1,1,0,1,NA,NA,NA,0,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88017",1,0,1,1,0,0,NA,NA,NA,0,NA,0,0,0,NA,1,0,NA,1,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,1,0,NA,0,1,0,0,NA,NA,NA,0
"88018",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA
"88019",NA,1,0,NA,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,1,NA,1,0,0,0,0,NA,NA,0,NA,NA,1,0,NA,0,0,NA,NA,NA,1,0,NA,0,NA,NA,NA
"88020",NA,NA,NA,1,0,1,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,NA,1,0,NA,1,0,0,NA
"88021",NA,1,0,NA,NA,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"88022",1,NA,NA,0,0,0,NA,1,1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,1,NA,0,0,0
"88023",NA,NA,NA,1,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88024",NA,1,NA,0,0,1,0,1,1,1,0,0,0,0,NA,0,NA,0,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"88025",NA,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA
"88026",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,1,NA,0,0,0,NA,0
"88027",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88028",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88029",1,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0
"88030",NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"88031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,1,NA,NA,NA,1,0,1,0,0,NA,NA,NA,1,0,0,0,0
