"","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010"
"46041",2,5,2,3,NA,2,2,4,2,4,6,5,5,6,3,3,1,1,1,4,1,2,1,2,NA,0,1,1,0,1,0,0,2,0,0,2,1,3,0,3,2,NA,4,3,2
"46042",2,2,NA,1,3,4,1,NA,4,6,4,6,5,7,10,9,9,3,4,NA,5,9,4,4,5,6,2,NA,3,1,4,2,5,6,9,12,15,15,14,17,12,10,8,18,9
"46043",NA,1,NA,NA,NA,0,0,2,1,1,3,5,1,4,8,5,5,3,2,3,5,5,8,3,NA,3,5,1,1,3,2,2,7,8,2,3,8,5,8,4,5,2,6,7,7
"46044",3,2,3,3,5,4,5,3,5,NA,1,NA,5,5,6,7,3,NA,NA,10,6,5,2,2,7,8,5,3,2,0,3,3,5,5,3,1,5,5,5,4,3,1,6,3,2
"46045",NA,5,NA,2,5,4,8,3,4,3,6,8,5,7,6,6,4,5,7,7,4,4,3,3,4,5,5,7,4,3,6,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46046",3,10,NA,7,6,8,8,12,8,12,11,13,7,17,13,14,15,1,6,7,5,2,4,NA,3,NA,4,NA,2,5,3,2,5,2,3,2,4,5,8,7,1,0,1,1,1
"46047",8,7,11,9,13,9,9,12,10,6,11,9,8,8,12,11,12,10,12,8,9,11,5,11,18,16,13,7,9,20,23,13,10,8,9,11,9,15,5,14,6,7,11,10,10
"46048",11,10,9,15,11,18,15,15,12,22,22,20,23,24,41,40,34,NA,25,12,23,13,17,15,16,18,11,18,9,15,18,12,11,13,13,6,17,8,16,10,6,6,7,9,7
"46049",2,15,8,13,10,16,NA,6,9,9,NA,19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46050",3,10,6,NA,7,11,NA,13,12,16,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,31,27,40,30,26,23,18,17,NA,14,13,8,16,7,NA
"46052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,3,4,5,NA,2,1,2,6,3,3,6,2
"46053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,35,37,NA,37,19,16,20,NA,21,24,14,NA,33,40,30
"46054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,28,NA,NA,25,29,15,24,NA,22,22,22,NA,NA,NA,NA
"46055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,9,3,11,13,6,10,6,5,10,6,7,11,7,11
"46102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,4,14,10,9,9,13,7,5,8,4,1,3,8,6,7,7,6
